epoch,lr,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.000500,96.6249,0.9408,0.8300,0.9386,0.8810,18.6285,0.9549,0.8531,0.9760,0.9104
2,0.000498,84.3999,0.9436,0.8241,0.9644,0.8887,17.8987,0.9473,0.8256,0.9829,0.8974
3,0.000496,84.6055,0.9452,0.8317,0.9591,0.8909,27.0284,0.9509,0.8861,0.9075,0.8967
4,0.000492,83.1790,0.9465,0.8354,0.9603,0.8935,22.5873,0.9563,0.8994,0.9163,0.9078
5,0.000488,85.2718,0.9483,0.8434,0.9563,0.8963,17.0195,0.9523,0.8452,0.9756,0.9057
6,0.000482,79.9011,0.9498,0.8465,0.9591,0.8993,25.7686,0.9543,0.8959,0.9110,0.9034
7,0.000476,89.4023,0.9482,0.8402,0.9605,0.8963,21.1703,0.9460,0.8406,0.9499,0.8919
8,0.000469,75.4990,0.9542,0.8603,0.9598,0.9073,25.7222,0.9494,0.9270,0.8514,0.8876
9,0.000461,72.1135,0.9567,0.8679,0.9606,0.9119,31.9567,0.9487,0.9252,0.8502,0.8861
10,0.000452,76.6575,0.9536,0.8633,0.9520,0.9055,17.5431,0.9552,0.8731,0.9466,0.9084
11,0.000443,76.7936,0.9539,0.8597,0.9589,0.9066,30.6295,0.9611,0.9245,0.9086,0.9165
12,0.000432,78.2485,0.9533,0.8582,0.9589,0.9057,18.6487,0.9510,0.8577,0.9484,0.9008
13,0.000421,78.7351,0.9530,0.8567,0.9593,0.9051,16.9457,0.9683,0.9119,0.9573,0.9341
14,0.000409,74.0860,0.9566,0.8634,0.9670,0.9123,16.7304,0.9623,0.8855,0.9639,0.9231
15,0.000397,80.9587,0.9557,0.8655,0.9589,0.9098,18.2220,0.9606,0.9016,0.9342,0.9176
16,0.000384,69.4908,0.9561,0.8636,0.9641,0.9111,18.2250,0.9615,0.8872,0.9580,0.9212
